entity:soil4_sample_id	metagenome_size_in_gbp	singlem_table	sra_accession
ERR1742264	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/de61d397-4fed-4cc2-ae7a-6357562c749f/call-singlem/attempt-2/ERR1742264.singlem.json.gz	ERR1742264
ERR1742266	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/c1b91805-fde5-4da4-b379-d0ae7e875fff/call-singlem/attempt-2/ERR1742266.singlem.json.gz	ERR1742266
ERR1742267	10	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/03daf13d-6f5e-4b83-8aaa-f3af67587cfb/call-singlem/ERR1742267.singlem.json.gz	ERR1742267
ERR1742270	14	undefined	ERR1742270
ERR1742271	10	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/73bd08ac-159b-45be-9f3c-cdddc78cdce2/call-singlem/ERR1742271.singlem.json.gz	ERR1742271
ERR1742273	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/6f2fae9f-00db-4bab-a2a1-dacf93a5d3e7/call-singlem/attempt-2/ERR1742273.singlem.json.gz	ERR1742273
ERR1742274	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/1ba642d5-750e-471d-8c5b-86e7aee1958c/call-singlem/attempt-2/ERR1742274.singlem.json.gz	ERR1742274
ERR1742276	9	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/a81269d7-a195-4d86-a7dc-5c7b9a8a1fbd/call-singlem/ERR1742276.singlem.json.gz	ERR1742276
ERR1742277	10	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/25e3651e-918e-4d7f-86b9-cc579b190cc9/call-singlem/ERR1742277.singlem.json.gz	ERR1742277
ERR1877652	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/ab2d9723-9ce7-43ef-96fe-6bd1a4097002/call-singlem/ERR1877652.singlem.json.gz	ERR1877652
ERR1877653	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/9fa0633f-fe9a-4112-a0cd-9ddc17b7d210/call-singlem/ERR1877653.singlem.json.gz	ERR1877653
ERR1877657	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/48317c11-d548-4472-a6ff-1ee74d2899fe/call-singlem/ERR1877657.singlem.json.gz	ERR1877657
ERR1877658	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/44593690-6ddd-4247-b77d-770679d82525/call-singlem/ERR1877658.singlem.json.gz	ERR1877658
ERR1877660	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/ffcb9e2d-8b9e-4018-96ac-24392eabdc42/call-singlem/ERR1877660.singlem.json.gz	ERR1877660
ERR1877664	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/b5f3bc87-fe9f-4ab3-890d-8ed6ff7b97f7/call-singlem/ERR1877664.singlem.json.gz	ERR1877664
ERR1877668	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/815e8f5d-caaf-4ed9-bb77-b91f6791f35c/call-singlem/ERR1877668.singlem.json.gz	ERR1877668
ERR1877669	3	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/46695033-e8c4-406a-a528-0c90288a3dc9/call-singlem/ERR1877669.singlem.json.gz	ERR1877669
ERR1877674	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/89de8b6c-1dfe-4734-83ed-3940715c67b0/call-singlem/ERR1877674.singlem.json.gz	ERR1877674
ERR1877678	3	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/272be350-fd0c-4253-acae-e52152008a92/call-singlem/ERR1877678.singlem.json.gz	ERR1877678
ERR1877679	3	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/17efe17d-58b9-4f48-aeee-e53dc6bb153a/call-singlem/ERR1877679.singlem.json.gz	ERR1877679
ERR1877688	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/d465fdf8-3220-462e-b07e-41cc61a9d9c2/call-singlem/ERR1877688.singlem.json.gz	ERR1877688
ERR1877689	3	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/886488e9-d12e-4007-bed5-f1e565adaf2f/call-singlem/ERR1877689.singlem.json.gz	ERR1877689
ERR1877695	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/c24d9a9d-770a-4876-a114-752088f98238/call-singlem/ERR1877695.singlem.json.gz	ERR1877695
ERR1877711	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/2c0bde18-d37d-49ec-9517-19d1bed4f8d7/call-singlem/ERR1877711.singlem.json.gz	ERR1877711
